=== /Users/shashanksaxena/Downloads/ASG Edge Plus Draft Feature List V1.xlsx ===
Sheets: ['ASG Edge Plus Modules', 'ASG Edge Plus Features', 'List of BRDs ', 'Pain points User Persona Wise', 'EdgePlusFields', 'FieldArchive', 'ExistingModules', 'ExistingNeededModules', 'ExistingGlobalFields', 'NeededGlobalFields', 'ExistingFirmFields', 'NeededFirmFields', 'Abbreviation', 'ASG Wishlist']


##### SHEET: ASG Edge Plus Modules #####
Work Area Number	Feature ID	Module	Sub Module	Pages	Sub Pages	Actions	Taazaa Remarks	ASG Remarks	Final Action
			WorkFlowTemplateStepAction.NotifyPriorApproversComplete	Notify Prior Approvers on Complete?	True	Select this check box if you want to send a notification to all prior approvers of this step once this step is complete.	Select this check box if you want to send a notification to all prior approvers of this step once this step is complete.
			WorkFlowTemplateStepAction.NotifyPriorAssigneesComplete	Notify Prior Assignees on Complete?	True	If set to true, prior assignees are notified by email when the workflow step is completed.	If set to true, prior assignees are notified by email when the workflow step is completed.
			WorkFlowTemplateStepAction.NotifyStepApproversComplete	Notify Step Approvers on Complete?	True	If set to true, step approvers are notified by email when the workflow step is completed.	If set to true, step approvers are notified by email when the workflow step is completed.
			WorkFlowTemplateStepAction.NotifyStepAssigneesComplete	Notify Step Assignees on Complete?	True	If set to true, step assignees are notified by email when the workflow step is completed.	If set to true, step assignees are notified by email when the workflow step is completed.
			WorkFlowTemplateStepAction.PassAdhocToNewWF	Pass Adhoc Assignee To New Work Flow?	True	This setting will assign the ad hoc member assigned to this task to the first task in the new work flow kicked off by this step.	This setting will assign the ad hoc member assigned to this task to the first task in the new work flow kicked off by this step.
			WorkFlowTemplateStepAction.PassPriorityToNewWF	Pass Priority To New Work Flow?	True	This setting will transfer the priority level of this work flow to a new work flow that is kicked off by this step.	This setting will transfer the priority level of this work flow to a new work flow that is kicked off by this step.
			WorkFlowTemplateStepAction.RequireAllApprovers	Require All Approvers?	True	Select this check box if you want to require all qualified approvers on the entity to take the same action on the work flow step for the work flow to progress.	Select this check box if you want to require all qualified approvers on the entity to take the same action on the work flow step for the work flow to progress.
			WorkFlowTemplateStepAction.RequireApproverSig	Require Approver Signature	True	Select this check box if you want to require an approver signature for an action on a work flow step. 	Select this check box if you want to require an approver signature for an action on a work flow step. 
			WorkFlowTemplateStepAction.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			WorkFlowTemplateStepAction.SendPaymentInfo	Send Payment Info?	False	This field is not implemented.	This field is not implemented.
			WorkFlowTemplateStepAction.ProjectEntityID	WF Step Action Entity	True	The ProjectEntityID is the Base Entity System Identifier for associated tasks, folders, documents, forms, and other records. It is assigned automatically by the system, and is not editable.	The ProjectEntityID is the Base Entity System Identifier for associated tasks, folders, documents, forms, and other records. It is assigned automatically by the system, and is not editable.
			WorkFlowTemplateStepAction.WorkFlowTemplateKickOffID	Work Flow Template Kick Off	True	Specifies the action type and the WorkFlow that gets kicked off.	Specifies the action type and the WorkFlow that gets kicked off.
			WorkFlowTemplateStepAction.WorkFlowTemplateStepID	Work Flow Template Step	True	The ID of the work flow step that this action is associated with.	The ID of the work flow step that this action is associated with.
			WorkFlowTemplateStepAction.BOMapClientRecordID	Work Flow Template Step Action ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			WorkFlowTemplateStepAction.WorkFlowTemplateStepActionID	Work Flow Template Step Action RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
	Contract						
		Accounting Assumptions					
			ContractFinancialTest.Topic842BeginDate	Accounting Begin Date	True	This date is the date your organization is adopting ASC 842, or the Possession Begin Date, whichever is later.	This date is the date your organization is adopting ASC 842, or the Possession Begin Date, whichever is later.
